pdv;ensena;direccion;c_p;duracion;periodo_frecuencia;frecuencia_visita;l;m;x;j;v;s;d;pais;lat;lon
"PORTANET";"EROSKI CENTER";"Travesía Alcalde Portanet, 4, 36210 Vigo (Pontevedra), España";"36210";"210";"semanal";"3";"x";"x";"x";"x";"x";"";"";"España";"42,21094";"-8,73294"
"LALIN I ";"EROSKI CENTER";"Avenida Luis González Taboada, 5, 36500 Lalín (Pontevedra), España";"36500";"105";"semanal";"3";"x";"x";"x";"x";"x";"";"";"España";"42,66094";"-8,11072"
"CHANTADA";"EROSKI CENTER";"Travesía Juan XXIII, 22, 27500 Chantada (Lugo), España";"27500";"105";"semanal";"3";"x";"x";"x";"x";"x";"";"";"España";"42,60907";"-7,76908"
"BARCELONA";"EROSKI CENTER";"Rúa de Barcelona, 57, 36203 Vigo (Pontevedra), España";"36203";"105";"semanal";"3";"x";"x";"x";"x";"x";"";"";"España";"42,22406";"-8,72577"
"CELANOVA";"EROSKI CENTER";"Rúa Emilia Pardo Bazán, 19, 32800 Celanova (Ourense), España";"32800";"210";"semanal";"3";"x";"x";"x";"x";"x";"";"";"España";"42,15322";"-7,95749"
"DOBLADA";"EROSKI CENTER";"Avenida do Alcalde Gregorio Espino, 63, 36205 Vigo (Pontevedra), España";"36205";"105";"semanal";"3";"x";"x";"x";"x";"x";"";"";"España";"42,22732";"-8,70804"
"S. FRANCISCO";"EROSKI CENTER";"Rúa Pena Trevinca, 46, 32005 Ourense (Ourense), España";"32005";"105";"semanal";"3";"x";"x";"x";"x";"x";"";"";"España";"42,33098";"-7,86202"
"CARBALLINO I ";"EROSKI CENTER";"Rúa de Evaristo Vaamonde, 42, 32500 O Carballiño (Ourense), España";"32500";"105";"semanal";"3";"x";"x";"x";"x";"x";"";"";"España";"42,43246";"-8,07332"
"EL VEINTIUNO";"EROSKI CENTER";"Rúa do Vinteún, 18, 32001 Ourense (Ourense), España";"32001";"105";"semanal";"3";"x";"x";"x";"x";"x";"";"";"España";"42,35709";"-7,86319"
"EL PUENTE";"EROSKI CENTER";"Avenida de Santiago, 21, 32001 Ourense (Ourense), España";"32001";"105";"semanal";"3";"x";"x";"x";"x";"x";"";"";"España";"42,34887";"-7,86866"
"TORRECEDEIRA";"EROSKI CENTER";"Rúa do Conde de Torrecedeira, 68, 36202 Vigo (Pontevedra), España";"36202";"105";"semanal";"3";"x";"x";"x";"x";"x";"";"";"España";"42,22972";"-8,73301"
"EL GROVE";"EROSKI CENTER";"Rúa Hospital a, 36980 O Grove (Pontevedra), España";"36980";"105";"semanal";"3";"x";"x";"x";"x";"x";"";"";"España";"42,49562";"-8,86445"
"RIBADEO";"EROSKI CENTER";"Rúa San Francisco, 27700 Ribadeo (Lugo), España";"27700";"210";"semanal";"3";"x";"x";"x";"x";"x";"";"";"España";"43,53577";"-7,04136"
"CAMBADOS II";"EROSKI CENTER";"Avenida de Vilagarcía, 36634 Cambados (Pontevedra), España";"36634";"105";"semanal";"3";"x";"x";"x";"x";"x";"";"";"España";"42,52532";"-8,81185"
"ESTACION";"EROSKI CENTER";"Rúa San Rosendo, 31, 32001 Ourense (Ourense), España";"32001";"210";"semanal";"3";"x";"x";"x";"x";"x";"";"";"España";"42,34908";"-7,87287"
"MARIN III";"EROSKI CENTER";"Rúa Alcalde Ezequiel Massoni, 26, 36920 Marín (Pontevedra), España";"36920";"105";"semanal";"3";"x";"x";"x";"x";"x";"";"";"España";"42,39022";"-8,70108"
"LOS ROSALES";"EROSKI CENTER";"Calle Emilio González López, 18, 15011 A Coruña (A Coruña), España";"15011";"105";"semanal";"3";"x";"x";"x";"x";"x";"";"";"España";"43,37561";"-8,43297"
"VILLAGARCIA";"EROSKI CENTER";"Praza Juan XXIII, 8, 36600 Vilagarcía de Arousa (Pontevedra), España";"36600";"105";"semanal";"3";"x";"x";"x";"x";"x";"";"";"España";"42,59751";"-8,76296"
"LA GUARDIA";"EROSKI CENTER";"Avenida Diego Antonio González, 55, 36789 A Guarda (Pontevedra), España";"36789";"105";"semanal";"3";"x";"x";"x";"x";"x";"";"";"España";"41,91037";"-8,85526"
"BUEU";"EROSKI CENTER";"Rúa Pazos Fontenla, 68, 36930 Bueu (Pontevedra), España";"36930";"105";"semanal";"3";"x";"x";"x";"x";"x";"";"";"España";"42,32574";"-8,78755"
"AGRA DEL ORZAN";"EROSKI CENTER";"Rúa Agra del Orzán, 38, 15010 A Coruña (A Coruña), España";"15010";"105";"semanal";"3";"x";"x";"x";"x";"x";"";"";"España";"43,36193";"-8,42147"
"VIVERO";"EROSKI CENTER";"Avenida Ramón Canosa, 4, 27850 Viveiro (Lugo), España";"27850";"105";"semanal";"3";"x";"x";"x";"x";"x";"";"";"España";"43,66527";"-7,59412"
"FENE";"EROSKI CENTER";"Avenida Tarrío, 15500 Fene (A Coruña), España";"15500";"210";"semanal";"3";"x";"x";"x";"x";"x";"";"";"España";"43,47211";"-8,16763"
"MOAÑA";"EROSKI CENTER";"Rúa Ramón Cabanillas, 185, 36950 Moaña (Pontevedra), España";"36950";"105";"semanal";"3";"x";"x";"x";"x";"x";"";"";"España";"42,27707";"-8,73867"
"SADA";"EROSKI CENTER";"Rúa Oza dos Ríos, 1, 15160 Sada (A Coruña), España";"15160";"105";"semanal";"3";"x";"x";"x";"x";"x";"";"";"España";"43,35036";"-8,2546"
"XINZO II";"EROSKI CENTER";"Estrada de Celanova, 32630 Xinzo de Limia (Ourense), España";"32630";"210";"semanal";"3";"x";"x";"x";"x";"x";"";"";"España";"42,06946";"-7,73377"
"GARCIA BARBON";"EROSKI CENTER";"Avenida de García Barbón, 54, 36201 Vigo (Pontevedra), España";"36201";"105";"semanal";"3";"x";"x";"x";"x";"x";"";"";"España";"42,23681";"-8,7136"
"SARRIA";"EROSKI CENTER";"Rúa Matías López, 108, 27619 Sarria (Lugo), España";"27619";"105";"semanal";"3";"x";"x";"x";"x";"x";"";"";"España";"42,78221";"-7,4145"
"O BARCO";"EROSKI CENTER";"Avenida Conde de Fenosa, 15, 32315 O Barco de Valdeorras (Ourense), España";"32315";"210";"semanal";"3";"x";"x";"x";"x";"x";"";"";"España";"42,4164";"-6,98674"
"CHOUPANA";"EROSKI CENTER";"Rúa da Volta do Castro, 32, 15706 Santiago de Compostela (A Coruña), España";"15706";"105";"semanal";"3";"x";"x";"x";"x";"x";"";"";"España";"42,86608";"-8,56496"
"SINFORIANO";"EROSKI CENTER";"Rúa Sinforiano López, 54, 15005 A Coruña (A Coruña), España";"15005";"105";"semanal";"3";"x";"x";"x";"x";"x";"";"";"España";"43,35931";"-8,40907"
"VIOÑO";"EROSKI CENTER";"Rúa Isaac Peral, 30, 15008 A Coruña (A Coruña), España";"15008";"105";"semanal";"3";"x";"x";"x";"x";"x";"";"";"España";"43,35575";"-8,41813"
"XOSE NOVO";"EROSKI CENTER";"Rúa Alcalde Xosé Novo Freire, 7, 27002 Lugo (Lugo), España";"27002";"105";"semanal";"3";"x";"x";"x";"x";"x";"";"";"España";"43,00152";"-7,54788"
"RIBEIRA";"EROSKI CENTER";"Polígono Industrial de Xaras, 15960 Ribeira (A Coruña), España";"15960";"105";"semanal";"3";"x";"x";"x";"x";"x";"";"";"España";"42,57394";"-8,99777"
"R.CABANILLAS ";"EROSKI CENTER";"Rúa Ramón Cabanillas, 12, 32004 Ourense (Ourense), España";"32004";"105";"semanal";"3";"x";"x";"x";"x";"x";"";"";"España";"42,34076";"-7,86061"
